Organization,IP,Programme,Donor,Crisis,Status,BeneficiaryType,RuralUrban,Modality,RegionMap,DistrictMap,Settlement,Location,StartMonth,EndMonth,EndYear,LastUpdated,PIN,Target,PCM,CRFM,ReportYear,ProgrammeCategory,Id,Individuals,Households,Men,Women,Boys,Girls
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Kurteely,30/09/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Yes,2021,SHELTER,709,300,50,49,45,108,99
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Bula gomor 1,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,358,360,48,58,54,130,118
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Idaale Jnaay,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,360,240,32,38,36,86,80
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Adan yare,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,362,240,32,38,36,86,80
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Adan yare,30/09/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Yes,2021,SHELTER,706,270,45,44,40,97,89
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Nashe,30/09/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Yes,2021,SHELTER,707,270,45,44,40,97,89
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Waame abawili,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,370,180,24,30,26,64,60
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Sigadhere1,30/09/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Yes,2021,SHELTER,710,330,55,53,49,119,109
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Afmadowe,30/09/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Yes,2021,SHELTER,711,360,60,58,54,129,119
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Gargaar,30/09/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Yes,2021,SHELTER,708,300,50,49,45,108,99
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Idaale Janay,30/09/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Yes,2021,SHELTER,705,252,42,41,37,91,83
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Ongoing,NIDP,Urban,In-Kind,Bay,Baidoa,Berdale,Hafata 3,30/09/2022,31/12/2022,2022,30/09/2022,3600000,1200000,No,Yes,2022,SHELTER,1490,270,40,44,40,97,89
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Ongoing,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa/Hawl Wadaag/Laanta,Roob da ay,30/09/2022,31/01/2023,2023,30/09/2022,3600000,1200000,No,Yes,2022,SHELTER,1491,210,35,34,31,75,69
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Ongoing,IRET,Urban,In-Kind,Bay,Baidoa,Berdale,Gargaar,30/09/2022,31/01/2023,2023,30/09/2022,3600000,1200000,No,Yes,2022,SHELTER,1489,330,55,53,49,119,109
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Ongoing,IRET,Urban,In-Kind,Bay,Baidoa,Isha,Wadajir Takoy,30/09/2022,31/01/2023,2023,30/09/2022,3600000,1200000,No,Yes,2022,SHELTER,1492,312,52,51,46,112,103
ACTED,ACTED,EMERGENCY SHELTER,ECHO,Drought,Ongoing,IRET,Urban,In-Kind,Bay,Baidoa,Isha,Adan yare,30/09/2022,31/01/2023,2023,30/09/2022,3600000,1200000,No,Yes,2022,SHELTER,1488,330,55,53,49,119,109
ACTED,ACTED,EMERGENCY SHELTER,SHF,Drought,Completed,NIDP,Urban,In-Kind,Sanaag,Ceerigaabo,Badhan,N/A,31/05/2019,31/05/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,43,3600,600,750,726,1074,1052
ACTED,ACTED,EMERGENCY SHELTER,Unknown,Flood,Completed,NIDP,Urban,In-Kind,Banadir,Banadir,Dharkenley,N/A,30/11/2019,31/12/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,220,1200,200,250,242,358,350
ACTED,ACTED,EMERGENCY SHELTER,Unknown,Flood,Completed,NIDP,Urban,In-Kind,Bari,Bossaso,Bossaso,N/A,31/12/2019,31/12/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,221,14160,2360,2946,2856,4222,4134
ACTED,ACTED,EMERGENCY SHELTER,Unknown,Flood,Completed,NIDP,Urban,In-Kind,Bari,Bossaso,Bossaso,N/A,30/11/2019,30/11/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,199,5136,856,1068,1036,1532,1500
ACTED,ACTED,EMERGENCY SHELTER,Unknown,Flood,Completed,NIDP,Urban,In-Kind,Nugaal,Garoowe,Garowe,N/A,30/11/2019,30/11/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,200,3456,576,720,698,1030,1010
ACTED,ACTED,EMERGENCY SHELTER,UNHCR donor - various,Drought,Ongoing,NIDP,Rural,In-Kind,Sanaag,Ceerigaabo,Xabow,Xabow - NC-3808-J21-001,31/10/2022,30/11/2022,2022,30/09/2022,3600000,1200000,No,Yes,2022,SHELTER,1339,150,25,29,27,49,45
ACTED,ACTED,EMERGENCY SHELTER,UNHCR donor - various,Drought,Ongoing,NIDP,Rural,In-Kind,Sanaag,Ceel Afweyn,Gar Adag,Gar Adag - NC-3812-N09-001,31/10/2022,30/11/2022,2022,30/09/2022,3600000,1200000,No,Yes,2022,SHELTER,1340,240,40,45,43,78,74
ACTED,ACTED,EMERGENCY SHELTER,UNHCR donor - various,Drought,Ongoing,NIDP,Rural,In-Kind,Sanaag,Ceel Afweyn,Fadhi Gaab,Fadhi Gaab - NC-3812-J12-001,31/10/2022,30/11/2022,2022,30/09/2022,3600000,1200000,No,Yes,2022,SHELTER,1341,210,35,39,37,68,65
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Oomane,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,309,480,62,78,72,172,158
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Oomane,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,308,480,62,78,72,172,158
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Abal 3,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,235,480,62,78,72,172,158
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Abal 3,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,236,480,62,78,72,172,158
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Mogar Arow,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,306,360,48,58,54,130,118
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Mogar Arow,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,305,360,48,58,54,130,118
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Waberi 2,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,320,480,62,78,72,172,158
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Waberi 2,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,321,360,48,58,54,130,118
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Waberi 2,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,319,480,62,78,72,172,158
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Faturahman,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,270,720,94,116,108,258,238
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Faturahman,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,269,720,94,116,108,258,238
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Arshaan,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,237,480,62,78,72,172,158
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Arshaan,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,238,480,62,78,72,172,158
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Jubada Dhaxe,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,294,600,78,98,90,216,198
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,Jubada Dhaxe,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,293,600,78,98,90,216,198
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Biyoley,Biyoley,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,250,360,48,58,54,130,118
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Biyoley,Biyoley,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,251,360,48,58,54,130,118
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Dugsiilow,Dugsilow,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,263,360,48,58,54,130,118
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Dugsiilow,Dugsilow,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,261,360,48,58,54,130,118
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Hereerra Jiifa,Hareera Jiife,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,287,600,78,98,90,216,198
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Hereerra Jiifa,Hareera Jiife,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,288,600,78,98,90,216,198
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Saydheelow,Saydheelow,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,311,240,32,38,36,86,80
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Saydheelow,Saydheelow,30/09/2019,29/02/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,312,240,32,38,36,86,80
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Shabelow Bay,30/09/2020,31/12/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,393,720,180,116,108,258,238
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Misnagiti,30/09/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,352,840,110,136,124,302,278
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Hiyadawiin 2,30/09/2020,31/12/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,SHELTER,353,480,96,78,72,172,158
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Rural,In-Kind,Sanaag,Laasqoray,Badhan,Gebidher,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,277,240,38,46,44,78,74
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Rural,In-Kind,Sanaag,Laasqoray,Badhan,Gebidher,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,278,240,38,46,44,78,74
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Rural,In-Kind,Sanaag,Laasqoray,Badhan,Gumar,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,280,648,102,124,116,210,198
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Rural,In-Kind,Sanaag,Laasqoray,Badhan,Gumar,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,281,648,102,124,116,210,198
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Rural,In-Kind,Sanaag,Laasqoray,Badhan,Eilahelay,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,267,60,10,12,10,20,18
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Laasqoray,Badhan,Bilcil,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,244,216,34,42,38,70,66
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Laasqoray,Badhan,Bilcil,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,245,216,34,42,38,70,66
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Laasqoray,Badhan,Dildishi,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,255,180,28,34,32,58,56
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Laasqoray,Badhan,Carshe,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,252,144,22,28,26,46,44
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Laasqoray,Badhan,Hadhkadhere,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,283,192,30,36,34,62,58
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Laasqoray,Badhan,Eilahelay,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,268,60,10,12,10,20,18
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Laasqoray,Dhahar,Dildishi,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,257,180,28,34,32,58,56
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Laasqoray,Dhahar,Carshe,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,254,144,22,28,26,46,44
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Laasqoray,Dhahar,Hadhkadhere,30/09/2019,31/03/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,284,192,30,36,34,62,58
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Ceel Afweyn,Ceel Afweyn,Galcidle,30/09/2019,30/04/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,272,720,112,134,128,234,222
ACTED,ACTED,EMERGENCY SHELTER,OFDA/BHA,Protracted,Completed,PIDP,Urban,In-Kind,Sanaag,Ceel Afweyn,Ceel Afweyn,Galcidle,30/09/2019,30/04/2020,2020,30/09/2022,2200000,1400000,Yes,Yes,2020,SHELTER,273,720,112,134,128,234,222
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceerigaabo,Ceerigaabo,Markabka,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,342,3480,552,672,624,1134,1050
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceerigaabo,Fiqifuliye,Fiqifuliye,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,338,3036,480,586,544,990,916
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceerigaabo,Shimbiraale,Shimbiraale,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,340,3600,570,696,644,1172,1086
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceel Afweyn,Ceel Afweyn,Dhabarmac,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,344,5100,792,954,904,1664,1578
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Sanaag,Ceel Afweyn,Ceel Afweyn,Dhararwayne,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,346,10200,1584,1908,1810,3326,3156
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Woqooyi Galbeed,Hargeysa,Salaxley,Salalxley,31/05/2020,31/12/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,389,3600,674,782,722,1090,1006
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Woqooyi Galbeed,Hargeysa,Balli-Gubadle,Bali-Gubadle,31/05/2020,31/12/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,387,1200,224,260,240,364,336
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,NIDP,Rural,In-Kind,Woqooyi Galbeed,Hargeysa,Bali-Mataan,Bali-Mataan,31/05/2020,31/12/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,391,4800,898,1042,962,1454,1342
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Rural,In-Kind,Bay,Baidoa,Baidoa,Cidaad geri,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,364,300,40,48,44,108,98
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Rural,In-Kind,Bay,Baidoa,Baidoa,Hisool,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,365,360,48,58,54,130,118
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Bakalfiin,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,355,480,62,78,72,172,158
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Alfurqaan,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,357,180,24,30,26,64,60
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Elbay 1,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,359,180,24,30,26,64,60
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Wadajir Takoy,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,361,240,32,38,36,86,80
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Afmadow 1,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,363,180,24,30,26,64,60
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Maleel,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,366,300,40,48,44,108,98
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Nashe,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,367,180,24,30,26,64,60
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Wargarasmoshe,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,368,180,24,30,26,64,60
ACTED,ACTED,NFI KITS,ECHO,Drought,Completed,IRET,Urban,In-Kind,Bay,Baidoa,Baidoa,Bakalsheeg,31/05/2020,30/11/2020,2020,30/09/2022,2200000,1400000,No,Yes,2020,NFI,369,180,24,30,26,64,60
ACTED,ACTED,NFI KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Sanaag,Ceerigaabo,Badhan,N/A,30/04/2019,31/05/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,42,8400,1400,1748,1694,2504,2452
ACTED,ACTED,NFI KITS,Unknown,Flood,Completed,NIDP,Mixed,In-Kind,Bari,Qardho,Qardho,N/A,30/11/2019,30/11/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,201,240,40,50,48,72,70
ACTED,ACTED,NFI KITS,Unknown,Flood,Completed,NIDP,Mixed,In-Kind,Bari,Qardho,Qardho,N/A,30/11/2019,31/12/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,222,2400,400,500,484,716,700
